"scholar_id","nombre","intereses"
"oZGkFZoAAAAJ","David Altman",NA
"RdXwR1EAAAAJ","Cristóbal Rovira Kaltwasser",NA
"e6FHWIMAAAAJ","Manuel Antonio Garretón",NA
"cV3jzO8AAAAJ","Lucia Dammert",NA
"IgwSc8oAAAAJ","Juan Pablo Luna",NA
"IBcs-ZwAAAAJ","Patricio Navia",NA
"AP5zUGwAAAAJ","Gabriel L. Negretto",NA
"pSjw4_gAAAAJ","Peter Siavelis",NA
"BPVbhToAAAAJ","Mauricio Morales Quiroga",NA
"5q8wMVcAAAAJ","Alfredo Joignant",NA
"gj1MwGwAAAAJ","Carlos Huneeus",NA
"yyr6ge0AAAAJ","Nicolás M. Somma",NA
"dJKWN8wAAAAJ","Hugo Frühling",NA
"NcxMjkAAAAAJ","Egon Montecinos",NA
"8g7eKDcAAAAJ","Eugenio Tironi",NA
"sHV_7OoAAAAJ","Kathya Araujo",NA
"DCQO_AgAAAAJ","María Luisa Méndez",NA
"ckIjzZQAAAAJ","Claudio Fuentes",NA
"gkHNPiwAAAAJ","Rossana Castiglioni",NA
"JD_X4KYAAAAJ","Carlos Meléndez",NA
"NLiNCD0AAAAJ","Emmanuelle Barozet",NA
"L8DtBnQAAAAJ","Vicente Espinoza",NA
"k-2PLOsAAAAJ","Modesto Gayo",NA
"F7Dguu4AAAAJ","Sergio Toro Maureira",NA
"6lYgX_0AAAAJ","Jorge Atria",NA
"Y4q4OfoAAAAJ","Antoine Maillet",NA
"HaX6qs4AAAAJ","Fernando Rosenblatt",NA
"UknWOrEAAAAJ","Bastián González-Bustamante",NA
