ranking,openalex_id,orcid,nombre,institucion,pais_institucion,ror,h_index,i10_index,citas,trabajos,campo_principal,dominio,topics,works_api_url
1,A5034708283,,Arend Lijphart,Gobierno de Chile,CL,https://ror.org/02sevrz47,59,115,32776,475,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Political Systems and Governance; European Union Policy and Governance; Agriculture and Rural Development Research; European and International Law Studies,https://api.openalex.org/works?filter=author.id:A5034708283
2,A5015004728,0000-0001-5985-6063,David Altman,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,54,134,20129,279,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Politics and Society in Latin America; Political Conflict and Governance; Smoking Behavior and Cessation; Community Health and Development,https://api.openalex.org/works?filter=author.id:A5015004728
3,A5056856178,0000-0002-8459-6037,Darío Páez,Universidad Andrés Bello,CL,https://ror.org/01qq57711,53,192,10200,576,Psychology,Social Sciences,Cultural Differences and Values; Social Sciences and Policies; Social and Intergroup Psychology; Stress and Burnout Research; Psychological Well-being and Life Satisfaction,https://api.openalex.org/works?filter=author.id:A5056856178
4,A5084911472,0000-0002-5453-3318,Cristóbal Rovira Kaltwasser,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,34,55,6684,131,Social Sciences,Social Sciences,"Populism, Right-Wing Movements; Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Media Influence and Politics; International Relations in Latin America",https://api.openalex.org/works?filter=author.id:A5084911472
5,A5068795472,0000-0002-2004-6917,Alejandro Micco,University of Chile,CL,https://ror.org/047gc3g35,34,68,5670,172,"Economics, Econometrics and Finance",Social Sciences,"Banking stability, regulation, efficiency; Corporate Finance and Governance; Global Financial Crisis and Policies; Labor market dynamics and wage inequality; Global trade and economics",https://api.openalex.org/works?filter=author.id:A5068795472
6,A5111210452,,Claudio E. Montenegro,University of Chile,CL,https://ror.org/047gc3g35,29,49,4593,92,"Economics, Econometrics and Finance",Social Sciences,"Labor market dynamics and wage inequality; Global trade and economics; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Employment and Welfare Studies",https://api.openalex.org/works?filter=author.id:A5111210452
7,A5030882591,,Ricardo Paes de Barros,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,28,66,3443,215,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Economic Theory and Policy; Poverty, Education, and Child Welfare; Labor market dynamics and wage inequality; Gender, Labor, and Family Dynamics",https://api.openalex.org/works?filter=author.id:A5030882591
8,A5077942210,0000-0002-7652-0948,Francisca Fariña Rivera,Hospital Las Higueras,CL,https://ror.org/05e3gef34,27,47,2184,325,Social Sciences,Social Sciences,"Legal processes and jurisprudence; Criminal Justice and Penology; Social Sciences and Policies; Aging, Health, and Disability; Ethics and bioethics in healthcare",https://api.openalex.org/works?filter=author.id:A5077942210
9,A5041223119,0000-0001-9398-8393,Patricio Navia,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,25,46,2115,295,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Electoral Systems and Political Participation; Public Policy and Governance; Political Theory and Democracy,https://api.openalex.org/works?filter=author.id:A5041223119
10,A5076772348,0000-0002-7832-0237,José Joaquín Brunner,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,24,63,2207,283,Social Sciences,Social Sciences,"Higher Education and Sustainability; Education and Teacher Training; Higher Education in Latin America; Social Sciences and Policies; Science, Technology, and Education in Latin America",https://api.openalex.org/works?filter=author.id:A5076772348
11,A5087670288,0000-0002-1141-4677,Alejandra Mizala,Centro de Recursos Educativos Avanzados,CL,https://ror.org/02694zd26,20,43,1974,113,Social Sciences,Social Sciences,"School Choice and Performance; Education and Teacher Training; Employment, Labor, and Gender Studies; Poverty, Education, and Child Welfare; Labor market dynamics and wage inequality",https://api.openalex.org/works?filter=author.id:A5087670288
12,A5022764137,0000-0002-6401-7384,Salvador Chacón Moscoso,Universidad Autónoma de Chile,CL,https://ror.org/010r9dy59,19,30,3109,130,Social Sciences,Social Sciences,Social Sciences and Policies; Evaluation and Performance Assessment; Psychology Research and Bibliometrics; Higher Education Teaching and Evaluation; Education and Teacher Training,https://api.openalex.org/works?filter=author.id:A5022764137
