ranking,nombre,institucion,disciplina,h_index,citas,trabajos,scholar_id,openalex_id,orcid,topics
1,David Altman,Pontificia Universidad Católica de Chile,Ciencia Política,54,20129,279,oZGkFZoAAAAJ,A5015004728,0000-0001-5985-6063,Electoral Systems and Political Participation; Politics and Society in Latin America; Political Conflict and Governance; Smoking Behavior and Cessation; Community Health and Development
2,Darío Páez,Universidad Andrés Bello,Sociología,53,10200,576,,A5056856178,0000-0002-8459-6037,Cultural Differences and Values; Social Sciences and Policies; Social and Intergroup Psychology; Stress and Burnout Research; Psychological Well-being and Life Satisfaction
3,Alejandro Micco,University of Chile,Ciencia Política,34,5670,172,BUc-k1MAAAAJ,A5068795472,0000-0002-2004-6917,"Banking stability, regulation, efficiency; Corporate Finance and Governance; Global Financial Crisis and Policies; Labor market dynamics and wage inequality; Global trade and economics"
4,Cristóbal Rovira Kaltwasser,Pontificia Universidad Católica de Chile,Ciencia Política,34,6684,131,RdXwR1EAAAAJ,A5084911472,0000-0002-5453-3318,"Populism, Right-Wing Movements; Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Media Influence and Politics; International Relations in Latin America"
5,Claudio E. Montenegro,University of Chile,Sociología,29,4593,92,PWLh77oAAAAJ,A5111210452,,"Labor market dynamics and wage inequality; Global trade and economics; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Employment and Welfare Studies"
6,Francisca Fariña Rivera,Hospital Las Higueras,Ciencias Sociales,27,2184,325,,A5077942210,0000-0002-7652-0948,"Legal processes and jurisprudence; Criminal Justice and Penology; Social Sciences and Policies; Aging, Health, and Disability; Ethics and bioethics in healthcare"
7,Patricio Navia,Universidad Diego Portales,Ciencia Política,25,2115,295,IBcs-ZwAAAAJ,A5041223119,0000-0001-9398-8393,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Electoral Systems and Political Participation; Public Policy and Governance; Political Theory and Democracy
8,José Joaquín Brunner,Universidad Diego Portales,Educación,24,2207,283,,A5076772348,0000-0002-7832-0237,"Higher Education and Sustainability; Education and Teacher Training; Higher Education in Latin America; Social Sciences and Policies; Science, Technology, and Education in Latin America"
9,Alejandra Mizala,Centro de Recursos Educativos Avanzados,Sociología,20,1974,113,zmkA7uwAAAAJ,A5087670288,0000-0002-1141-4677,"School Choice and Performance; Education and Teacher Training; Employment, Labor, and Gender Studies; Poverty, Education, and Child Welfare; Labor market dynamics and wage inequality"
10,Salvador Chacón Moscoso,Universidad Autónoma de Chile,Psicología,19,3109,130,,A5022764137,0000-0002-6401-7384,Social Sciences and Policies; Evaluation and Performance Assessment; Psychology Research and Bibliometrics; Higher Education Teaching and Evaluation; Education and Teacher Training
11,Daniel Chernilo,Adolfo Ibáñez University,Sociología,19,1501,127,sHV_7OoAAAAJ,A5067510313,0000-0002-0222-2331,"Critical Theory and Philosophy; Weber, Simmel, Sociological Theory; Contemporary Sociological Theory and Practice; Critical Realism in Sociology; Religion and Society Interactions"
12,Miguel Alfaro,Universidad de Santiago de Chile,Administración,18,1055,70,,A5040669170,0000-0002-1633-8853,Quality and Supply Management; Metaheuristic Optimization Algorithms Research; Vehicle Routing Optimization Methods; Innovation and Knowledge Management; Urban and Freight Transport Logistics
13,Vicente Sisto,Pontificia Universidad Católica de Valparaíso,Educación,18,928,99,,A5028436138,0000-0003-4510-4041,Education and Teacher Training; Social Sciences and Policies; Educational Practices and Policies; Educational theories and practices; Higher Education and Sustainability
14,Juan‐Carlos Ferrer,Pontificia Universidad Católica de Chile,Administración,18,936,39,,A5101899080,0009-0008-6275-3856,Consumer Market Behavior and Pricing; Scheduling and Timetabling Solutions; Supply Chain and Inventory Management; Scheduling and Optimization Algorithms; Vehicle Routing Optimization Methods
15,Ángel Ignacio Pérez Gómez,University of Atacama,Educación,18,2494,139,,A5101554626,0000-0001-8291-0849,Educational Practices and Policies; Higher Education Teaching and Evaluation; Educational theories and practices; Education and Teacher Training; Social Sciences and Policies
16,Anahí Urquiza,University of Chile,Ciencia Política,17,765,76,,A5076127678,0000-0001-6901-0846,"Social Sciences and Policies; Aging, Health, and Disability; Environmental and Cultural Studies in Latin America and Beyond; Energy and Environment Impacts; Sustainability and Climate Change Governance"
17,Paula Ascorra,Pontificia Universidad Católica de Valparaíso,Educación,17,868,126,,A5083125818,0000-0001-9449-8273,Education and Teacher Training; Inclusive Education and Diversity; Educational Innovations and Technology; Social Sciences and Policies; Social Skills and Education
18,Raquel Lucas Platero Méndez,Catholic University of the Maule,Comunicación,17,794,126,,A5079778875,0000-0002-7196-6983,"Gender and Feminist Studies; LGBTQ Health, Identity, and Policy; Social Sciences and Policies; Gender, Feminism, and Media; Human Rights and Immigration"
19,Luis Quezada,Universidad de Santiago de Chile,Administración,16,869,75,,A5015572564,0000-0003-1364-9266,Quality and Supply Management; Sustainable Supply Chain Management; Accounting and Organizational Management; Multi-Criteria Decision Making; Strategic Planning and Analysis
20,Eduardo Restrepo,Universidad Católica de Temuco,Sociología,16,1253,179,,A5031697683,0000-0002-5634-465X,Latin American Cultural Politics; History and Politics in Latin America; Social Sciences and Policies; Indigenous Cultures and History; Immigration and Intercultural Education
21,Carla Fardella,Universidad Andrés Bello,Educación,16,623,72,,A5030046414,0000-0001-8936-2435,Education and Teacher Training; Social Sciences and Policies; Inclusive Education and Diversity; Higher Education and Sustainability; Educational Practices and Policies
22,F. Daniel Hidalgo,Pontificia Universidad Católica de Chile,Ciencia Política,16,1835,100,,A5111212106,,Corruption and Economic Development; Media Influence and Politics; Legal and Constitutional Studies; Electoral Systems and Political Participation; Politics and Society in Latin America
23,Aldo Mascareño,Centro de Estudios Científicos,Ciencia Política,16,1472,143,,A5052340557,0000-0002-5803-863X,Social Sciences and Policies; Public Policy and Governance; Comparative constitutional jurisprudence studies; Latin American socio-political dynamics; International Relations in Latin America
24,Mahía Saracostti,University of Chile,Educación,16,1074,114,,A5012520666,0000-0002-9673-5727,Education and Teacher Training; Educational Innovations and Technology; Early Childhood Education and Development; Social Sciences and Policies; Parental Involvement in Education
25,Diego Rojas,University of Chile,Sociología,16,876,100,,A5011677827,0000-0002-5388-1070,Global trade and economics; Taxation and Compliance Studies; Pneumocystis jirovecii pneumonia detection and treatment; Labor market dynamics and wage inequality; Digital Economy and Work Transformation
26,Felipe González,Universidad Diego Portales,Economía,16,1311,230,,A5052031397,0000-0002-2174-0900,"Transportation Planning and Optimization; Urban Transport and Accessibility; Social Sciences and Policies; Employment, Labor, and Gender Studies; Economic and Environmental Valuation"
27,Héctor López-Ospina,"Universidad de Los Andes, Chile",Ciencias Sociales,15,673,54,,A5030726857,0000-0001-8144-6394,Transportation Planning and Optimization; Multi-Criteria Decision Making; Consumer Market Behavior and Pricing; Optimization and Mathematical Programming; Accounting and Organizational Management
28,Juan Carlos Castillo,University of Chile,Sociología,15,972,39,yyr6ge0AAAAJ,A5002598354,0000-0003-1265-7854,"Social Policy and Reform Studies; Income, Poverty, and Inequality; Taxation and Compliance Studies; Social and Cultural Dynamics; Psychological Well-being and Life Satisfaction"
29,Nicolás M. Somma,Pontificia Universidad Católica de Chile,Ciencia Política,15,1014,69,yyr6ge0AAAAJ,A5056736150,0000-0001-8717-3868,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Social Media and Politics; Political Conflict and Governance; Electoral Systems and Political Participation
30,Jaime Miranda,University of Chile,Ciencias Sociales,15,1150,24,,A5101541650,0000-0001-9682-9494,Scheduling and Timetabling Solutions; Online Learning and Analytics; Stock Market Forecasting Methods; Vehicle Routing Optimization Methods; Time Series Analysis and Forecasting
31,Marcela Aracena,Pontificia Universidad Católica de Chile,Psicología,15,655,80,,A5056761232,0000-0002-5602-3960,"Child and Adolescent Psychosocial and Emotional Development; Health and Lifestyle Studies; Aging, Health, and Disability; Child Abuse and Trauma; Social Sciences and Policies"
